id,query,scholar_name,scholar_urdu,scholar_born,scholar_country,scholar_languages,scholar_specialization,scholar_known_for,scholar_books,scholar_youtube,scholar_followers_millions,scholar_style,scholar_audience,category,topic,intent,language,answer,label,label_id
1,Tariq Jameel ki zindagi ke barey mein batao,Tariq Jameel,طارق جمیل,1953,Pakistan,Urdu,Tablighi Dawah|Spiritual Reform|Hadith,"Emotional bayans, celebrity conversions, Tablighi Jamaat",Islah e Muashra|Seerat e Nabawi,Maulana Tariq Jameel Official,8.5,Emotional,General Muslim Public,biography,Rishtay,information,english,"Tariq Jameel (طارق جمیل) 1953 mein Pakistan mein paida hue. Woh Tablighi Dawah, Spiritual Reform mein mahir hain. Woh Emotional bayans, celebrity conversions, Tablighi Jamaat ke liye mashoor hain. Unka andaz Emotional hai aur yeh General Muslim Public ke liye kaam karte hain.",Tariq Jameel,0
2,Who is Tariq Jameel?,Tariq Jameel,طارق جمیل,1953,Pakistan,Urdu,Tablighi Dawah|Spiritual Reform|Hadith,"Emotional bayans, celebrity conversions, Tablighi Jamaat",Islah e Muashra|Seerat e Nabawi,Maulana Tariq Jameel Official,8.5,Emotional,General Muslim Public,biography,Rishtay,information,english,"Tariq Jameel (طارق جمیل) 1953 mein Pakistan mein paida hue. Woh Tablighi Dawah, Spiritual Reform mein mahir hain. Woh Emotional bayans, celebrity conversions, Tablighi Jamaat ke liye mashoor hain. Unka andaz Emotional hai aur yeh General Muslim Public ke liye kaam karte hain.",Tariq Jameel,0
3,طارق جمیل kab paida hue?,Tariq Jameel,طارق جمیل,1953,Pakistan,Urdu,Tablighi Dawah|Spiritual Reform|Hadith,"Emotional bayans, celebrity conversions, Tablighi Jamaat",Islah e Muashra|Seerat e Nabawi,Maulana Tariq Jameel Official,8.5,Emotional,General Muslim Public,biography,Rishtay,information,english,"Tariq Jameel (طارق جمیل) 1953 mein Pakistan mein paida hue. Woh Tablighi Dawah, Spiritual Reform mein mahir hain. Woh Emotional bayans, celebrity conversions, Tablighi Jamaat ke liye mashoor hain. Unka andaz Emotional hai aur yeh General Muslim Public ke liye kaam karte hain.",Tariq Jameel,0
4,Tariq Jameel ka background kya hai?,Tariq Jameel,طارق جمیل,1953,Pakistan,Urdu,Tablighi Dawah|Spiritual Reform|Hadith,"Emotional bayans, celebrity conversions, Tablighi Jamaat",Islah e Muashra|Seerat e Nabawi,Maulana Tariq Jameel Official,8.5,Emotional,General Muslim Public,biography,Seerat,information,english,"Tariq Jameel (طارق جمیل) 1953 mein Pakistan mein paida hue. Woh Tablighi Dawah, Spiritual Reform mein mahir hain. Woh Emotional bayans, celebrity conversions, Tablighi Jamaat ke liye mashoor hain. Unka andaz Emotional hai aur yeh General Muslim Public ke liye kaam karte hain.",Tariq Jameel,0
5,Tell me about Tariq Jameel,Tariq Jameel,طارق جمیل,1953,Pakistan,Urdu,Tablighi Dawah|Spiritual Reform|Hadith,"Emotional bayans, celebrity conversions, Tablighi Jamaat",Islah e Muashra|Seerat e Nabawi,Maulana Tariq Jameel Official,8.5,Emotional,General Muslim Public,biography,Seerat,information,english,"Tariq Jameel (طارق جمیل) 1953 mein Pakistan mein paida hue. Woh Tablighi Dawah, Spiritual Reform mein mahir hain. Woh Emotional bayans, celebrity conversions, Tablighi Jamaat ke liye mashoor hain. Unka andaz Emotional hai aur yeh General Muslim Public ke liye kaam karte hain.",Tariq Jameel,0
6,طارق جمیل ki family ke barey mein,Tariq Jameel,طارق جمیل,1953,Pakistan,Urdu,Tablighi Dawah|Spiritual Reform|Hadith,"Emotional bayans, celebrity conversions, Tablighi Jamaat",Islah e Muashra|Seerat e Nabawi,Maulana Tariq Jameel Official,8.5,Emotional,General Muslim Public,biography,Rishtay,information,english,"Tariq Jameel (طارق جمیل) 1953 mein Pakistan mein paida hue. Woh Tablighi Dawah, Spiritual Reform mein mahir hain. Woh Emotional bayans, celebrity conversions, Tablighi Jamaat ke liye mashoor hain. Unka andaz Emotional hai aur yeh General Muslim Public ke liye kaam karte hain.",Tariq Jameel,0
7,Tariq Jameel early life,Tariq Jameel,طارق جمیل,1953,Pakistan,Urdu,Tablighi Dawah|Spiritual Reform|Hadith,"Emotional bayans, celebrity conversions, Tablighi Jamaat",Islah e Muashra|Seerat e Nabawi,Maulana Tariq Jameel Official,8.5,Emotional,General Muslim Public,biography,Rishtay,information,english,"Tariq Jameel (طارق جمیل) 1953 mein Pakistan mein paida hue. Woh Tablighi Dawah, Spiritual Reform mein mahir hain. Woh Emotional bayans, celebrity conversions, Tablighi Jamaat ke liye mashoor hain. Unka andaz Emotional hai aur yeh General Muslim Public ke liye kaam karte hain.",Tariq Jameel,0
8,Tariq Jameel ki best taqreer kaun si hai?,Tariq Jameel,طارق جمیل,1953,Pakistan,Urdu,Tablighi Dawah|Spiritual Reform|Hadith,"Emotional bayans, celebrity conversions, Tablighi Jamaat",Islah e Muashra|Seerat e Nabawi,Maulana Tariq Jameel Official,8.5,Emotional,General Muslim Public,lectures,Tawbah,lecture_search,english,Tariq Jameel ke Tawbah par bohat ache bayans hain. Aap unka YouTube channel 'Maulana Tariq Jameel Official' pe dekh sakte hain. Unke approximately 8.5 million followers hain. Unka style Emotional hai jo General Muslim Public ko pasand hai.,Tariq Jameel,0
9,Tariq Jameel lectures on Tawbah,Tariq Jameel,طارق جمیل,1953,Pakistan,Urdu,Tablighi Dawah|Spiritual Reform|Hadith,"Emotional bayans, celebrity conversions, Tablighi Jamaat",Islah e Muashra|Seerat e Nabawi,Maulana Tariq Jameel Official,8.5,Emotional,General Muslim Public,lectures,Tawbah,lecture_search,english,Tariq Jameel ke Tawbah par bohat ache bayans hain. Aap unka YouTube channel 'Maulana Tariq Jameel Official' pe dekh sakte hain. Unke approximately 8.5 million followers hain. Unka style Emotional hai jo General Muslim Public ko pasand hai.,Tariq Jameel,0
10,طارق جمیل ka bayan YouTube pe,Tariq Jameel,طارق جمیل,1953,Pakistan,Urdu,Tablighi Dawah|Spiritual Reform|Hadith,"Emotional bayans, celebrity conversions, Tablighi Jamaat",Islah e Muashra|Seerat e Nabawi,Maulana Tariq Jameel Official,8.5,Emotional,General Muslim Public,lectures,Islah,lecture_search,english,Tariq Jameel ke Islah par bohat ache bayans hain. Aap unka YouTube channel 'Maulana Tariq Jameel Official' pe dekh sakte hain. Unke approximately 8.5 million followers hain. Unka style Emotional hai jo General Muslim Public ko pasand hai.,Tariq Jameel,0
11,Best Tariq Jameel speech ever,Tariq Jameel,طارق جمیل,1953,Pakistan,Urdu,Tablighi Dawah|Spiritual Reform|Hadith,"Emotional bayans, celebrity conversions, Tablighi Jamaat",Islah e Muashra|Seerat e Nabawi,Maulana Tariq Jameel Official,8.5,Emotional,General Muslim Public,lectures,Duniya ki Haqeeqat,lecture_search,english,Tariq Jameel ke Duniya ki Haqeeqat par bohat ache bayans hain. Aap unka YouTube channel 'Maulana Tariq Jameel Official' pe dekh sakte hain. Unke approximately 8.5 million followers hain. Unka style Emotional hai jo General Muslim Public ko pasand hai.,Tariq Jameel,0
12,Tariq Jameel ki Duniya ki Haqeeqat par taqreer,Tariq Jameel,طارق جمیل,1953,Pakistan,Urdu,Tablighi Dawah|Spiritual Reform|Hadith,"Emotional bayans, celebrity conversions, Tablighi Jamaat",Islah e Muashra|Seerat e Nabawi,Maulana Tariq Jameel Official,8.5,Emotional,General Muslim Public,lectures,Duniya ki Haqeeqat,lecture_search,english,Tariq Jameel ke Duniya ki Haqeeqat par bohat ache bayans hain. Aap unka YouTube channel 'Maulana Tariq Jameel Official' pe dekh sakte hain. Unke approximately 8.5 million followers hain. Unka style Emotional hai jo General Muslim Public ko pasand hai.,Tariq Jameel,0
13,Where to watch Tariq Jameel lectures?,Tariq Jameel,طارق جمیل,1953,Pakistan,Urdu,Tablighi Dawah|Spiritual Reform|Hadith,"Emotional bayans, celebrity conversions, Tablighi Jamaat",Islah e Muashra|Seerat e Nabawi,Maulana Tariq Jameel Official,8.5,Emotional,General Muslim Public,lectures,Duniya ki Haqeeqat,lecture_search,english,Tariq Jameel ke Duniya ki Haqeeqat par bohat ache bayans hain. Aap unka YouTube channel 'Maulana Tariq Jameel Official' pe dekh sakte hain. Unke approximately 8.5 million followers hain. Unka style Emotional hai jo General Muslim Public ko pasand hai.,Tariq Jameel,0
14,Tariq Jameel ka mashhoor bayan,Tariq Jameel,طارق جمیل,1953,Pakistan,Urdu,Tablighi Dawah|Spiritual Reform|Hadith,"Emotional bayans, celebrity conversions, Tablighi Jamaat",Islah e Muashra|Seerat e Nabawi,Maulana Tariq Jameel Official,8.5,Emotional,General Muslim Public,lectures,Islah,lecture_search,english,Tariq Jameel ke Islah par bohat ache bayans hain. Aap unka YouTube channel 'Maulana Tariq Jameel Official' pe dekh sakte hain. Unke approximately 8.5 million followers hain. Unka style Emotional hai jo General Muslim Public ko pasand hai.,Tariq Jameel,0
15,Tariq Jameel ki kitabein kaun si hain?,Tariq Jameel,طارق جمیل,1953,Pakistan,Urdu,Tablighi Dawah|Spiritual Reform|Hadith,"Emotional bayans, celebrity conversions, Tablighi Jamaat",Islah e Muashra|Seerat e Nabawi,Maulana Tariq Jameel Official,8.5,Emotional,General Muslim Public,books,Duniya ki Haqeeqat,recommendation,english,"Tariq Jameel ki mashoor kitabein hain: Islah e Muashra, Seerat e Nabawi. Yeh kitabein Tablighi Dawah, Spiritual Reform ke topics cover karti hain. Aap yeh online ya Islamic bookstores se hasil kar sakte hain.",Tariq Jameel,0
16,Tariq Jameel books list,Tariq Jameel,طارق جمیل,1953,Pakistan,Urdu,Tablighi Dawah|Spiritual Reform|Hadith,"Emotional bayans, celebrity conversions, Tablighi Jamaat",Islah e Muashra|Seerat e Nabawi,Maulana Tariq Jameel Official,8.5,Emotional,General Muslim Public,books,Tawbah,recommendation,english,"Tariq Jameel ki mashoor kitabein hain: Islah e Muashra, Seerat e Nabawi. Yeh kitabein Tablighi Dawah, Spiritual Reform ke topics cover karti hain. Aap yeh online ya Islamic bookstores se hasil kar sakte hain.",Tariq Jameel,0
17,طارق جمیل ki best book recommend karo,Tariq Jameel,طارق جمیل,1953,Pakistan,Urdu,Tablighi Dawah|Spiritual Reform|Hadith,"Emotional bayans, celebrity conversions, Tablighi Jamaat",Islah e Muashra|Seerat e Nabawi,Maulana Tariq Jameel Official,8.5,Emotional,General Muslim Public,books,Akhirat,recommendation,english,"Tariq Jameel ki mashoor kitabein hain: Islah e Muashra, Seerat e Nabawi. Yeh kitabein Tablighi Dawah, Spiritual Reform ke topics cover karti hain. Aap yeh online ya Islamic bookstores se hasil kar sakte hain.",Tariq Jameel,0
18,Tariq Jameel written works,Tariq Jameel,طارق جمیل,1953,Pakistan,Urdu,Tablighi Dawah|Spiritual Reform|Hadith,"Emotional bayans, celebrity conversions, Tablighi Jamaat",Islah e Muashra|Seerat e Nabawi,Maulana Tariq Jameel Official,8.5,Emotional,General Muslim Public,books,Islah,recommendation,english,"Tariq Jameel ki mashoor kitabein hain: Islah e Muashra, Seerat e Nabawi. Yeh kitabein Tablighi Dawah, Spiritual Reform ke topics cover karti hain. Aap yeh online ya Islamic bookstores se hasil kar sakte hain.",Tariq Jameel,0
19,Tariq Jameel ki Seerat par likhi kitab,Tariq Jameel,طارق جمیل,1953,Pakistan,Urdu,Tablighi Dawah|Spiritual Reform|Hadith,"Emotional bayans, celebrity conversions, Tablighi Jamaat",Islah e Muashra|Seerat e Nabawi,Maulana Tariq Jameel Official,8.5,Emotional,General Muslim Public,books,Seerat,recommendation,english,"Tariq Jameel ki mashoor kitabein hain: Islah e Muashra, Seerat e Nabawi. Yeh kitabein Tablighi Dawah, Spiritual Reform ke topics cover karti hain. Aap yeh online ya Islamic bookstores se hasil kar sakte hain.",Tariq Jameel,0
20,"Mujhe Islah ke barey mein sunna hai, kaun sa scholar best hai?",Tariq Jameel,طارق جمیل,1953,Pakistan,Urdu,Tablighi Dawah|Spiritual Reform|Hadith,"Emotional bayans, celebrity conversions, Tablighi Jamaat",Islah e Muashra|Seerat e Nabawi,Maulana Tariq Jameel Official,8.5,Emotional,General Muslim Public,recommendation,Islah,recommendation,english,"Islah ke liye Tariq Jameel (طارق جمیل) best choice hain. Woh is topic mein Tablighi Dawah, Spiritual Reform ke expert hain. Unka YouTube channel 'Maulana Tariq Jameel Official' pe bohat content available hai. Unka andaz Emotional hai.",Tariq Jameel,0
21,Best scholar for Islah,Tariq Jameel,طارق جمیل,1953,Pakistan,Urdu,Tablighi Dawah|Spiritual Reform|Hadith,"Emotional bayans, celebrity conversions, Tablighi Jamaat",Islah e Muashra|Seerat e Nabawi,Maulana Tariq Jameel Official,8.5,Emotional,General Muslim Public,recommendation,Islah,recommendation,english,"Islah ke liye Tariq Jameel (طارق جمیل) best choice hain. Woh is topic mein Tablighi Dawah, Spiritual Reform ke expert hain. Unka YouTube channel 'Maulana Tariq Jameel Official' pe bohat content available hai. Unka andaz Emotional hai.",Tariq Jameel,0
22,Akhirat ke liye kon sunoon?,Tariq Jameel,طارق جمیل,1953,Pakistan,Urdu,Tablighi Dawah|Spiritual Reform|Hadith,"Emotional bayans, celebrity conversions, Tablighi Jamaat",Islah e Muashra|Seerat e Nabawi,Maulana Tariq Jameel Official,8.5,Emotional,General Muslim Public,recommendation,Akhirat,recommendation,english,"Akhirat ke liye Tariq Jameel (طارق جمیل) best choice hain. Woh is topic mein Tablighi Dawah, Spiritual Reform ke expert hain. Unka YouTube channel 'Maulana Tariq Jameel Official' pe bohat content available hai. Unka andaz Emotional hai.",Tariq Jameel,0
23,Recommend me a scholar for Akhirat,Tariq Jameel,طارق جمیل,1953,Pakistan,Urdu,Tablighi Dawah|Spiritual Reform|Hadith,"Emotional bayans, celebrity conversions, Tablighi Jamaat",Islah e Muashra|Seerat e Nabawi,Maulana Tariq Jameel Official,8.5,Emotional,General Muslim Public,recommendation,Akhirat,recommendation,english,"Akhirat ke liye Tariq Jameel (طارق جمیل) best choice hain. Woh is topic mein Tablighi Dawah, Spiritual Reform ke expert hain. Unka YouTube channel 'Maulana Tariq Jameel Official' pe bohat content available hai. Unka andaz Emotional hai.",Tariq Jameel,0
24,Islah par kaun se alim sunoon?,Tariq Jameel,طارق جمیل,1953,Pakistan,Urdu,Tablighi Dawah|Spiritual Reform|Hadith,"Emotional bayans, celebrity conversions, Tablighi Jamaat",Islah e Muashra|Seerat e Nabawi,Maulana Tariq Jameel Official,8.5,Emotional,General Muslim Public,recommendation,Islah,recommendation,english,"Islah ke liye Tariq Jameel (طارق جمیل) best choice hain. Woh is topic mein Tablighi Dawah, Spiritual Reform ke expert hain. Unka YouTube channel 'Maulana Tariq Jameel Official' pe bohat content available hai. Unka andaz Emotional hai.",Tariq Jameel,0
25,Tariq Jameel aur Ibtasim Illahi Zaheer mein farq kya hai?,Tariq Jameel,طارق جمیل,1953,Pakistan,Urdu,Tablighi Dawah|Spiritual Reform|Hadith,"Emotional bayans, celebrity conversions, Tablighi Jamaat",Islah e Muashra|Seerat e Nabawi,Maulana Tariq Jameel Official,8.5,Emotional,General Muslim Public,comparison,Rishtay,comparison,english,"Tariq Jameel aur Ibtasim Illahi Zaheer dono ache scholars hain lekin alag style rakhte hain. Tariq Jameel ka andaz Emotional hai aur General Muslim Public ke liye best hai. Ibtasim Illahi Zaheer ka andaz Scholarly/Analytical hai aur Religious Students, Scholars ke liye suitable hai. Aapki zaroorat ke mutabiq choose karein.",Tariq Jameel,0
26,Tariq Jameel vs Israr Ahmed style,Tariq Jameel,طارق جمیل,1953,Pakistan,Urdu,Tablighi Dawah|Spiritual Reform|Hadith,"Emotional bayans, celebrity conversions, Tablighi Jamaat",Islah e Muashra|Seerat e Nabawi,Maulana Tariq Jameel Official,8.5,Emotional,General Muslim Public,comparison,Seerat,comparison,english,"Tariq Jameel aur Israr Ahmed dono ache scholars hain lekin alag style rakhte hain. Tariq Jameel ka andaz Emotional hai aur General Muslim Public ke liye best hai. Israr Ahmed ka andaz Academic/Revolutionary hai aur Educated Muslims, Youth ke liye suitable hai. Aapki zaroorat ke mutabiq choose karein.",Tariq Jameel,0
27,Which is better Tariq Jameel or Nouman Ali Khan?,Tariq Jameel,طارق جمیل,1953,Pakistan,Urdu,Tablighi Dawah|Spiritual Reform|Hadith,"Emotional bayans, celebrity conversions, Tablighi Jamaat",Islah e Muashra|Seerat e Nabawi,Maulana Tariq Jameel Official,8.5,Emotional,General Muslim Public,comparison,Seerat,comparison,english,"Tariq Jameel aur Nouman Ali Khan dono ache scholars hain lekin alag style rakhte hain. Tariq Jameel ka andaz Emotional hai aur General Muslim Public ke liye best hai. Nouman Ali Khan ka andaz Relatable/Youth Oriented hai aur Western Muslims, Youth, Students ke liye suitable hai. Aapki zaroorat ke mutabiq choose karein.",Tariq Jameel,0
28,Tariq Jameel aur Javed Ahmad Ghamidi ka aqeedah,Tariq Jameel,طارق جمیل,1953,Pakistan,Urdu,Tablighi Dawah|Spiritual Reform|Hadith,"Emotional bayans, celebrity conversions, Tablighi Jamaat",Islah e Muashra|Seerat e Nabawi,Maulana Tariq Jameel Official,8.5,Emotional,General Muslim Public,comparison,Duniya ki Haqeeqat,comparison,english,"Tariq Jameel aur Javed Ahmad Ghamidi dono ache scholars hain lekin alag style rakhte hain. Tariq Jameel ka andaz Emotional hai aur General Muslim Public ke liye best hai. Javed Ahmad Ghamidi ka andaz Intellectual/Reform hai aur Educated Elite, Doubting Muslims ke liye suitable hai. Aapki zaroorat ke mutabiq choose karein.",Tariq Jameel,0
